2a0d:5d00:1::/48,US,US-NJ,Princeton,
2a0d:5d00:2::/48,RU,RU-SPE,Saint Petersburg,
2a0d:5d00:3::/48,BR,BR-RJ,Rio de Janeiro,
2a0d:5d00:4::/48,IN,IN-GA,Goa,
2a0d:5d00:5::/48,KZ,KZ-71,Astana,
2a0d:5d00:6::/48,PL,PL-14,Warszawa,
2a0d:5d00:7::/48,CZ,CZ-10,Prague,
2a0d:5d00:8::/48,GB,GB-LND,London,
2a0d:5d00:9::/48,FR,FR-75C,Paris,
2a12:ec0:1::/48,US,US-NJ,Princeton,
2a12:ec0:2::/48,RU,RU-SPE,Saint Petersburg,
2a12:ec0:3::/48,BR,BR-RJ,Rio de Janeiro,
2a12:ec0:4::/48,IN,IN-GA,Goa,
2a12:ec0:5::/48,KZ,KZ-71,Astana,
2a12:ec0:6::/48,PL,PL-14,Warszawa,
2a12:ec0:7::/48,CZ,CZ-10,Prague,
2a12:ec0:8::/48,GB,GB-LND,London,
2a12:ec0:9::/48,FR,FR-75C,Paris
